block_number,timestamp,spot_price
22162103,2025-03-31 00:25:47,1947616799608232182
22165603,2025-03-31 12:08:11,1949383901873015721
22169103,2025-03-31 23:52:47,1950184978461377000
22172603,2025-04-01 11:36:35,1947516700895726124
22176103,2025-04-01 23:19:35,1943827262614539069
22179603,2025-04-02 11:02:23,1954754879520359546
22183103,2025-04-02 22:45:23,1955161505931445017
22186603,2025-04-03 10:29:11,1953080412816335644
22190103,2025-04-03 22:13:59,1965689819351797982
22193603,2025-04-04 09:55:59,1973845202174201742
22197103,2025-04-04 21:39:11,1986443581568408192
22200603,2025-04-05 09:23:11,1978101343354279484
22204103,2025-04-05 21:07:47,1978103211521244481
22207603,2025-04-06 08:51:23,1979941251586860078
22211103,2025-04-06 20:36:23,1984277289757113575
22214603,2025-04-07 08:20:47,1984316722885131330
22218103,2025-04-07 20:06:11,1984467792763840275
22221603,2025-04-08 07:50:35,1989459425214123134
22221604,2025-04-08 07:50:47,1989459425214123153
22221605,2025-04-08 07:50:59,1989459425214123171
22225105,2025-04-08 19:33:11,1989912963536872716
22228605,2025-04-09 07:17:23,1993693052677553400
22232105,2025-04-09 19:00:35,1981868152282595528
22232106,2025-04-09 19:00:47,1981868136904982855
22232107,2025-04-09 19:00:59,1981868121739078201
