block_number,timestamp,balance
50072359,2025-05-21 22:26:18,0
50084359,2025-05-22 03:26:20,0
50096359,2025-05-22 08:26:21,0
50108359,2025-05-22 13:26:22,0
50120359,2025-05-22 18:26:24,0
50132359,2025-05-22 23:26:41,0
50144359,2025-05-23 04:26:42,0
50156359,2025-05-23 09:26:42,0
50168359,2025-05-23 14:26:44,0
50180359,2025-05-23 19:26:46,0
50192359,2025-05-24 00:26:50,0
50204359,2025-05-24 05:26:56,0
50216359,2025-05-24 10:26:56,0
50228359,2025-05-24 15:26:59,0
50240359,2025-05-24 20:27:07,0
50252359,2025-05-25 01:27:08,0
50264359,2025-05-25 06:27:09,0
50276359,2025-05-25 11:27:12,0
50288359,2025-05-25 16:27:14,0
50300359,2025-05-25 21:27:17,0
50312359,2025-05-26 02:27:17,0
50324359,2025-05-26 07:27:36,0
50336359,2025-05-26 12:28:12,0
50348359,2025-05-26 17:28:15,0
50360359,2025-05-26 22:28:17,0
50372359,2025-05-27 03:28:18,0
50384359,2025-05-27 08:28:19,0
50396359,2025-05-27 13:28:20,0
50408359,2025-05-27 18:28:42,0
50420359,2025-05-27 23:28:47,0
50432359,2025-05-28 04:28:52,0
50444359,2025-05-28 09:29:26,0
50456359,2025-05-28 14:29:28,0
50468359,2025-05-28 19:30:36,0
50480359,2025-05-29 00:30:38,0
50492359,2025-05-29 05:30:38,0
50504359,2025-05-29 10:32:40,155955800000
50516359,2025-05-29 15:32:41,155955800000
50528359,2025-05-29 20:32:43,155955800000
50540359,2025-05-30 01:32:43,155955800000
50552359,2025-05-30 06:32:44,155955800000
50564359,2025-05-30 11:32:47,155955800000
50576359,2025-05-30 16:32:53,155955800000
50588359,2025-05-30 21:32:53,155955800000
50600359,2025-05-31 02:32:54,155955800000
50612359,2025-05-31 07:32:55,155955800000
50624359,2025-05-31 12:32:57,155955800000
50636359,2025-05-31 17:33:02,155955800000
50648359,2025-05-31 22:33:02,155955800000
50660359,2025-06-01 03:33:02,155955800000
50672359,2025-06-01 08:33:04,155955800000
50684359,2025-06-01 13:33:06,155955800000
50696359,2025-06-01 18:33:11,155955800000
50708359,2025-06-01 23:33:24,155955800000
50720359,2025-06-02 04:33:27,155955800000
50732359,2025-06-02 09:33:29,155955800000
50744359,2025-06-02 14:33:37,155955800000
50756359,2025-06-02 19:33:39,155955800000
50768359,2025-06-03 00:33:39,155955800000
50780359,2025-06-03 05:33:42,155955800000
50792359,2025-06-03 10:33:48,155955800000
50804359,2025-06-03 15:33:54,155955800000
50816359,2025-06-03 20:33:56,155955800000
50816360,2025-06-03 20:33:57,155955800000
50828360,2025-06-04 01:34:01,133933800000
