block_number,timestamp,spot_price
50072359,2025-05-21 22:26:18,1000000000000000000
50084359,2025-05-22 03:26:20,1000000000000000000
50096359,2025-05-22 08:26:21,1000000000000000000
50108359,2025-05-22 13:26:22,1000000000000000000
50120359,2025-05-22 18:26:24,1000000000000000000
50132359,2025-05-22 23:26:41,1000000000000000000
50144359,2025-05-23 04:26:42,1000000000000000000
50156359,2025-05-23 09:26:42,1000000000000000000
50168359,2025-05-23 14:26:44,1000000000000000000
50180359,2025-05-23 19:26:46,1000000000000000000
50192359,2025-05-24 00:26:50,1000000000000000000
50204359,2025-05-24 05:26:56,1000000000000000000
50216359,2025-05-24 10:26:56,1000000000000000000
50228359,2025-05-24 15:26:59,1000000000000000000
50240359,2025-05-24 20:27:07,1000000000000000000
50252359,2025-05-25 01:27:08,1000000000000000000
50264359,2025-05-25 06:27:09,1000000000000000000
50276359,2025-05-25 11:27:12,1000000000000000000
50288359,2025-05-25 16:27:14,1000000000000000000
50300359,2025-05-25 21:27:17,1000000000000000000
50312359,2025-05-26 02:27:17,1000000000000000000
50324359,2025-05-26 07:27:36,1000000000000000000
50336359,2025-05-26 12:28:12,1000000000000000000
50348359,2025-05-26 17:28:15,1000000000000000000
50360359,2025-05-26 22:28:17,1000000000000000000
50372359,2025-05-27 03:28:18,1000000000000000000
50384359,2025-05-27 08:28:19,1000000000000000000
50396359,2025-05-27 13:28:20,1000000000000000000
50408359,2025-05-27 18:28:42,1000000000000000000
50420359,2025-05-27 23:28:47,1000000000000000000
50432359,2025-05-28 04:28:52,1000000000000000000
50444359,2025-05-28 09:29:26,1000000000000000000
50456359,2025-05-28 14:29:28,1000000000000000000
50468359,2025-05-28 19:30:36,1000000000000000000
50480359,2025-05-29 00:30:38,1000000000000000000
50492359,2025-05-29 05:30:38,1000000000000000000
50504359,2025-05-29 10:32:40,1000000000000000000
50516359,2025-05-29 15:32:41,1000000000000000000
50528359,2025-05-29 20:32:43,1000000000000000000
50540359,2025-05-30 01:32:43,1000000000000000000
50552359,2025-05-30 06:32:44,1000000000000000000
50564359,2025-05-30 11:32:47,1000000000000000000
50576359,2025-05-30 16:32:53,1000000000000000000
50588359,2025-05-30 21:32:53,1000000000000000000
50600359,2025-05-31 02:32:54,1000000000000000000
50612359,2025-05-31 07:32:55,1000000000000000000
50624359,2025-05-31 12:32:57,1000000000000000000
50636359,2025-05-31 17:33:02,1000000000000000000
50648359,2025-05-31 22:33:02,1000000000000000000
50660359,2025-06-01 03:33:02,1000000000000000000
50672359,2025-06-01 08:33:04,1000000000000000000
50684359,2025-06-01 13:33:06,1000000000000000000
50696359,2025-06-01 18:33:11,1000000000000000000
50708359,2025-06-01 23:33:24,1000000000000000000
50720359,2025-06-02 04:33:27,1000000000000000000
50732359,2025-06-02 09:33:29,1000000000000000000
50744359,2025-06-02 14:33:37,1000000000000000000
50756359,2025-06-02 19:33:39,1000000000000000000
50768359,2025-06-03 00:33:39,1000000000000000000
50780359,2025-06-03 05:33:42,1000000000000000000
50792359,2025-06-03 10:33:48,1000000000000000000
50804359,2025-06-03 15:33:54,1000000000000000000
50816359,2025-06-03 20:33:56,1000000000000000000
50828359,2025-06-04 01:33:59,1000000000000000000
