block_number,timestamp,balance
21397940,2024-12-14 07:02,15976922370660686442
21401440,2024-12-14 18:46,172195208885824218745
21404940,2024-12-15 06:28,194052932879451179863
21408440,2024-12-15 18:12,200263258114745490992
21411940,2024-12-16 05:57,200263258114745490992
21415440,2024-12-16 17:40,201757616579236480504
21418940,2024-12-17 05:22,201757616579236480504
21422440,2024-12-17 17:04,201757616579236480504
21425940,2024-12-18 04:48,201757616579236480504
21429440,2024-12-18 16:32,201757616579236480504
21432940,2024-12-19 04:17,201757616579236480504
21436440,2024-12-19 16:02,201757616579236480504
21439940,2024-12-20 03:46,201757616579236480504
21443440,2024-12-20 15:29,205493858950488393732
21446940,2024-12-21 03:12,205493858950488393732
21450440,2024-12-21 14:59,205493858950488393732
21453940,2024-12-22 02:44,251526199011835793857
21457440,2024-12-22 14:28,251526199011835793857
21460940,2024-12-23 02:12,251526199011835793857
21464440,2024-12-23 13:58,251526199011835793857
21467940,2024-12-24 01:43,252897986622589128102
21471440,2024-12-24 13:28,302710633774880090428
21474940,2024-12-25 01:13,302710633774880090428
21478440,2024-12-25 12:57,302710633774880090428
21481940,2024-12-26 00:41,305179202492734575780
21485440,2024-12-26 12:27,305179202492734575780
21488940,2024-12-27 00:10,306549346273906737169
21492440,2024-12-27 11:55,306549346273906737169
21495940,2024-12-27 23:39,306549346273906737169
21499440,2024-12-28 11:22,306549346273906737169
21502940,2024-12-28 23:05,306549346273906737169
21506440,2024-12-29 10:49,306549346273906737169
21509940,2024-12-29 22:32,322966178954710684188
21513440,2024-12-30 10:15,322966178954710684188
21516940,2024-12-30 21:59,322966178954710684188
21520440,2024-12-31 09:43,322966178954710684188
21523940,2024-12-31 21:28,322966178954710684188
21527440,2025-01-01 09:11,322966178954710684188
21530940,2025-01-01 20:54,322966178954710684188
21534440,2025-01-02 08:37,322966178954710684188
21537940,2025-01-02 20:19,322966178954710684188
21541440,2025-01-03 08:02,322966178954710684188
21544940,2025-01-03 19:46,322966178954710684188
21548440,2025-01-04 07:30,322966178954710684188
21551940,2025-01-04 19:14,322966178954710684188
21555440,2025-01-05 06:57,322966178954710684188
21558940,2025-01-05 18:41,345397432251644691790
21562440,2025-01-06 06:27,348198267891967843612
21565940,2025-01-06 18:12,348198267891967843612
21569440,2025-01-07 05:55,348198267891967843612
21572940,2025-01-07 17:38,348198267891967843612
21576440,2025-01-08 05:21,348198267891967843612
21579940,2025-01-08 17:05,348198267891967843612
21583440,2025-01-09 04:47,348198267891967843612
21586940,2025-01-09 16:32,345729699174113358260
21590440,2025-01-10 04:15,345729699174113358260
21593940,2025-01-10 16:01,336709012257516165269
21597440,2025-01-11 03:43,336709012257516165269
21600940,2025-01-11 15:27,336709012257516165269
21604440,2025-01-12 03:11,336709012257516165269
21607940,2025-01-12 14:53,335338868476344003880
21611440,2025-01-13 02:37,335338868476344003880
21614940,2025-01-13 14:23,335338868476344003880
21618440,2025-01-14 02:06,335338868476344003880
21621940,2025-01-14 13:51,335338868476344003880
21625440,2025-01-15 01:34,335986767445544535966
21628940,2025-01-15 13:18,335986767445544535966
21632440,2025-01-16 01:01,335986767445544535966
21635940,2025-01-16 12:45,353134059673326705438
21639440,2025-01-17 00:28,353134059673326705438
21642940,2025-01-17 12:12,353134059673326705438
21646440,2025-01-17 23:55,353134059673326705438
21649940,2025-01-18 11:41,353134059673326705438
21653440,2025-01-18 23:23,353134059673326705438
21656940,2025-01-19 11:07,353134059673326705438
21660440,2025-01-19 22:51,353134059673326705438
21663940,2025-01-20 10:34,353134059673326705438
21667440,2025-01-20 22:17,353134059673326705438
21670940,2025-01-21 10:01,383008257808436538779
21674440,2025-01-21 21:44,384232497279735037081
21677940,2025-01-22 09:28,384232497279735037081
21681440,2025-01-22 21:11,384232497279735037081
21684940,2025-01-23 08:56,385228252778638663020
21688440,2025-01-23 20:38,385228252778638663020
21691940,2025-01-24 08:22,385228252778638663020
21695440,2025-01-24 20:04,385228252778638663020
21698940,2025-01-25 07:48,385228252778638663020
21702440,2025-01-25 19:33,385228252778638663020
21705940,2025-01-26 07:15,385228252778638663020
21709440,2025-01-26 18:59,385228252778638663020
21712940,2025-01-27 06:42,385228252778638663020
21716440,2025-01-27 18:24,385228252778638663020
21719940,2025-01-28 06:07,385228252778638663020
21723440,2025-01-28 17:52,362796999481704655418
21726940,2025-01-29 05:36,362796999481704655418
21730440,2025-01-29 17:19,362796999481704655418
21733940,2025-01-30 05:02,362796999481704655418
21737440,2025-01-30 16:46,362796999481704655418
21740940,2025-01-31 04:29,349071941596824261418
21744440,2025-01-31 16:14,349071941596824261418
21747940,2025-02-01 03:58,349071941596824261418
21751440,2025-02-01 15:42,349071941596824261418
21754940,2025-02-02 03:25,349071941596824261418
21758440,2025-02-02 15:10,349071941596824261418
21761940,2025-02-03 02:55,349071941596824261418
21765440,2025-02-03 14:39,349071941596824261418
21768940,2025-02-04 02:23,349071941596824261418
21772440,2025-02-04 14:08,349071941596824261418
