block_number,timestamp,total_supply
48088340,2025-04-05 13:53:57,1294557695605010397730
48102340,2025-04-06 01:33:57,1294557695605010397730
48116340,2025-04-06 13:13:57,1294557695605010397730
48130340,2025-04-07 00:54:01,1294557695605010397730
48144340,2025-04-07 12:34:01,1294557695605010397730
48144341,2025-04-07 12:34:04,1294557695605010397730
48144342,2025-04-07 12:34:07,1294557695605010397730
48144343,2025-04-07 12:34:10,1294557695605010397730
48158343,2025-04-08 00:14:10,1294557695605010397730
48158344,2025-04-08 00:14:13,1294557695605010397730
48158345,2025-04-08 00:14:16,1294557695605010397730
48172345,2025-04-08 11:54:16,1294557695605010397730
48186345,2025-04-08 23:34:16,1294557695605010397730
48200345,2025-04-09 11:14:16,1294557695605010397730
48214345,2025-04-09 22:54:16,1294557695605010397730
48214346,2025-04-09 22:54:19,1294557695605010397730
48214347,2025-04-09 22:54:22,1294557695605010397730
48228347,2025-04-10 10:34:23,1242038866652547036649
48228348,2025-04-10 10:34:26,1242038866652547036649
48240348,2025-04-10 20:34:29,1242038866652547036649
48252348,2025-04-11 06:34:29,1242038866652547036649
48264348,2025-04-11 16:34:29,1242038866652547036649
48276348,2025-04-12 02:34:29,1242038866652547036649
48288348,2025-04-12 12:34:29,1242038866652547036649
48300348,2025-04-12 22:34:29,1242038866652547036649
48312348,2025-04-13 08:34:31,1242038866652547036649
48324348,2025-04-13 18:34:31,1242038866652547036649
48336348,2025-04-14 04:34:39,1242038866652547036649
48348348,2025-04-14 14:34:39,1242038866652547036649
48360348,2025-04-15 00:34:40,1242038866652547036649
48372348,2025-04-15 10:34:44,1242038866652547036649
48384348,2025-04-15 20:34:48,1242073948334477204125
48396348,2025-04-16 06:34:51,1242073948334477204125
48396349,2025-04-16 06:34:54,1242073948334477204125
48408349,2025-04-16 16:35:05,1242073948334477204125
48420349,2025-04-17 02:35:10,1242073948334477204125
48432349,2025-04-17 12:39:06,1242073948334477204125
48444349,2025-04-17 22:40:29,1242073948334477204125
48456349,2025-04-18 08:40:29,1242073948334477204125
48468349,2025-04-18 18:40:29,1242073948334477204125
48480349,2025-04-19 04:40:31,1242073948334477204125
48480350,2025-04-19 04:40:34,1242073948334477204125
48480351,2025-04-19 04:40:37,1242073948334477204125
48480352,2025-04-19 04:40:40,1242073948334477204125
48480353,2025-04-19 04:40:43,1242073948334477204125
48492353,2025-04-19 14:40:49,1242073948334477204125
48504353,2025-04-20 00:40:57,1242073948334477204125
48516353,2025-04-20 10:41:06,1242073948334477204125
48528353,2025-04-20 20:41:06,1242073948334477204125
48540353,2025-04-21 06:41:06,1242073948334477204125
48552353,2025-04-21 16:41:10,1242073948334477204125
48564353,2025-04-22 02:41:10,1241843603074136622638
48576353,2025-04-22 12:41:12,1241843603074136622638
48588353,2025-04-22 22:42:04,1241843603074136622638
48600353,2025-04-23 08:42:04,1241373668545589605668
48612353,2025-04-23 18:42:08,1241373668545589605668
48612354,2025-04-23 18:42:11,1241373668545589605668
48624354,2025-04-24 04:42:31,1241373668545589605668
48636354,2025-04-24 14:42:35,1230306086553746310232
48648354,2025-04-25 00:42:44,1230306086553746310232
48660354,2025-04-25 10:42:54,1230306086553746310232
48672354,2025-04-25 20:43:02,1230306086553746310232
48684354,2025-04-26 06:43:25,231017415977384545730
48696354,2025-04-26 16:43:32,231017415977384545730
48708354,2025-04-27 02:43:35,231017415977384545730
48720354,2025-04-27 12:43:43,231017415977384545730
48732354,2025-04-27 22:43:43,231017415977384545730
48744354,2025-04-28 08:43:43,231017415977384545730
48756354,2025-04-28 18:43:45,231017415977384545730
48768354,2025-04-29 04:43:45,231017415977384545730
48780354,2025-04-29 11:56:37,231017415977384545730
48792354,2025-04-29 16:58:06,231017415977384545730
48804354,2025-04-29 21:58:08,231017415977384545730
48816354,2025-04-30 02:58:10,231017415977384545730
48828354,2025-04-30 07:58:10,231017415977384545730
48840354,2025-04-30 12:58:53,231017415977384545730
48852354,2025-04-30 17:58:54,231017415977384545730
48864354,2025-04-30 22:58:54,231017415977384545730
48876354,2025-05-01 03:58:54,231017415977384545730
48888354,2025-05-01 08:58:55,231017415977384545730
48900354,2025-05-01 13:58:56,231017415977384545730
48912354,2025-05-01 18:59:04,231017415977384545730
48924354,2025-05-01 23:59:18,231017415977384545730
48936354,2025-05-02 04:59:24,231017415977384545730
48948354,2025-05-02 09:59:24,231017415977384545730
48960354,2025-05-02 14:59:50,231017415977384545730
48972354,2025-05-02 19:59:51,231017415977384545730
48984354,2025-05-03 00:59:52,231017415977384545730
48996354,2025-05-03 05:59:53,231017415977384545730
49008354,2025-05-03 10:59:53,231017415977384545730
49020354,2025-05-03 15:59:54,231017415977384545730
49032354,2025-05-03 20:59:56,231017415977384545730
49044354,2025-05-04 01:59:56,231017415977384545730
49056354,2025-05-04 06:59:57,231017415977384545730
49068354,2025-05-04 11:59:57,231017415977384545730
49080354,2025-05-04 16:59:57,231017415977384545730
49092354,2025-05-04 21:59:57,231017415977384545730
49104354,2025-05-05 02:59:58,231017415977384545730
49116354,2025-05-05 07:59:59,231017415977384545730
49128354,2025-05-05 13:00:00,231017415977384545730
49140354,2025-05-05 18:00:00,231017415977384545730
49152354,2025-05-05 23:00:01,231017415977384545730
49164354,2025-05-06 04:00:01,231017415977384545730
49176354,2025-05-06 09:00:01,231017415977384545730
49176355,2025-05-06 09:00:02,231017415977384545730
49188355,2025-05-06 14:00:05,231017415977384545730
49200355,2025-05-06 19:00:07,232486497863833631304
49212355,2025-05-07 00:00:12,232486497863833631304
49224355,2025-05-07 05:00:13,232486497863833631304
49236355,2025-05-07 10:00:15,232486497863833631304
49248355,2025-05-07 15:00:17,232486497863833631304
49260355,2025-05-07 20:00:23,232486497863833631304
49272355,2025-05-08 01:00:25,232486497863833631304
49284355,2025-05-08 06:00:26,232486497863833631304
49296355,2025-05-08 11:00:40,88872616382723140436
49308355,2025-05-08 16:00:43,50734441595071852961
49320355,2025-05-08 21:01:48,47813429922069192654
49332355,2025-05-09 02:01:49,47813429922069192654
49344355,2025-05-09 07:01:49,47813429922069192654
49356355,2025-05-09 12:01:49,47813429922069192654
49368355,2025-05-09 17:01:49,47813429922069192654
49380355,2025-05-09 22:01:50,47813429922069192654
49392355,2025-05-10 03:01:50,47813429922069192654
49404355,2025-05-10 08:01:50,47813429922069192654
49416355,2025-05-10 13:01:51,47813429922069192654
49428355,2025-05-10 18:01:51,47813429922069192654
49440355,2025-05-10 23:01:52,47813429922069192654
49452355,2025-05-11 04:01:52,47813429922069192654
49464355,2025-05-11 09:01:53,47813429922069192654
49476355,2025-05-11 14:01:54,47813429922069192654
49488355,2025-05-11 19:01:56,47813429922069192654
49500355,2025-05-12 00:01:57,47813429922069192654
49512355,2025-05-12 05:01:57,47813429922069192654
49524355,2025-05-12 10:01:58,47813429922069192654
49536355,2025-05-12 15:02:00,47813429922069192654
49548355,2025-05-12 20:02:03,47813429922069192654
49560355,2025-05-13 01:02:03,47813429922069192654
49572355,2025-05-13 06:02:05,47813429922069192654
49584355,2025-05-13 11:02:06,47613429922069192654
49596355,2025-05-13 16:02:06,47613429922069192654
49608355,2025-05-13 21:02:34,47613429922069192654
49620355,2025-05-14 02:02:48,47613429922069192654
